property_type,price_category,city_code,prefecture,city,district,nearest_station,station_minutes,price,layout,area_sqm,year_built,structure,usage,future_use,urban_planning,building_coverage_ratio,floor_area_ratio,transaction_period,renovation,transaction_note
中古マンション等,成約価格情報,13115,東京都,杉並区,井草,上井草,2.0,76000000,２ＬＤＫ,85,2014年,ＲＣ,,,近隣商業,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,井草,井荻,9.0,60000000,３ＬＤＫ＋Ｓ,80,2007年,ＲＣ,,,１中住専,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,井草,井荻,11.0,64000000,３ＬＤＫ,75,2007年,ＲＣ,,,１中住専,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,今川,上井草,13.0,31000000,２ＬＤＫ,70,1974年,ＲＣ,,,１低住専,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,永福町,5.0,12000000,１Ｒ,20,1991年,ＲＣ,,,近隣商業,,,2023年第4四半期,改装済み,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,永福町,7.0,84000000,３ＬＤＫ,70,2016年,ＲＣ,,,１低住専,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,永福町,8.0,63000000,２ＬＤＫ,70,2000年,ＲＣ,,,近隣商業,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,明大前,3.0,16000000,１ＤＫ,30,1971年,ＳＲＣ,,,,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,明大前,4.0,11000000,１ＤＫ,30,1971年,ＳＲＣ,,,商業,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,永福,,,18000000,１Ｋ,20,,,,,,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,荻窪,荻窪,4.0,33000000,１ＬＤＫ,45,1969年,ＲＣ,,,,,,2023年第4四半期,,
中古マンション等,成約価格情報,13115,東京都,杉並区,荻窪,荻窪,2.0,48000000,１ＬＤＫ,35,2009年,ＲＣ,,,商業,,,2023年第4四半期,,
